,date,open,close,high,low,volume,code
1335,2007-06-21,-73.79,-72.115,-71.401,-74.241,19401.41,sh600519
1336,2007-06-22,-72.085,-74.369,-70.935,-75.744,17853.37,sh600519
1337,2007-06-25,-74.917,-75.676,-71.604,-76.119,32756.57,sh600519
1338,2007-06-26,-75.826,-74.827,-74.241,-78.321,12271.69,sh600519
1339,2007-06-27,-74.083,-71.619,-71.521,-75.593,23766.47,sh600519
1340,2007-06-28,-71.311,-73.58,-70.86,-73.843,26212.17,sh600519
1341,2007-06-29,-75.368,-75.233,-72.4,-76.382,15499.39,sh600519
1342,2007-07-02,-75.744,-75.691,-74.992,-78.749,19600.22,sh600519
1343,2007-07-03,-75.593,-76.33,-75.368,-77.998,11009.03,sh600519
1344,2007-07-04,-76.33,-77.156,-75.443,-77.84,11556.94,sh600519
1345,2007-07-05,-77.998,-79.478,-76.495,-80.169,17043.63,sh600519
1346,2007-07-06,-79.801,-76.585,-76.457,-79.801,15596.04,sh600519
1347,2007-07-09,-76.345,-74.88,-74.466,-76.871,11643.44,sh600519
1348,2007-07-10,-74.992,-76.495,-74.992,-77.246,9793.7,sh600519
1349,2007-07-11,-77.246,-78.118,-77.246,-78.899,12129.96,sh600519
1350,2007-07-12,-77.998,-79.222,-77.644,-79.583,14739.14,sh600519
1351,2007-07-13,-78.952,-78.606,-77.862,-79.034,9166.86,sh600519
1352,2007-07-16,-78.238,-81.018,-78.238,-81.055,10747.33,sh600519
1353,2007-07-17,-81.078,-78.125,-78.073,-82.505,15065.88,sh600519
1354,2007-07-18,-79.102,-77.411,-76.713,-80.477,11356.86,sh600519
1355,2007-07-19,-78.155,-75.405,-75.157,-78.223,14746.77,sh600519
1356,2007-07-20,-76.044,-74.511,-74.091,-76.72,14294.46,sh600519
1357,2007-07-23,-73.865,-70.372,-69.462,-75.172,19092.84,sh600519
1358,2007-07-24,-70.259,-71.867,-69.958,-72.287,13103.79,sh600519
1359,2007-07-25,-72.588,-72.971,-71.461,-73.339,15241.67,sh600519
1360,2007-07-26,-72.302,-72.182,-70.71,-72.813,13053.04,sh600519
1361,2007-07-27,-74.053,-74.842,-72.595,-75.21,16312.15,sh600519
1362,2007-07-30,-74.842,-71.168,-70.259,-75.06,27876.99,sh600519
1363,2007-07-31,-71.551,-67.652,-66.953,-72.047,27165.92,sh600519
1364,2007-08-01,-67.704,-69.936,-66.953,-70.702,19966.05,sh600519
1365,2007-08-02,-69.583,-67.021,-65.826,-69.583,20521.29,sh600519
1366,2007-08-03,-67.043,-60.875,-60.124,-67.209,34106.98,sh600519
1367,2007-08-06,-60.845,-60.89,-59.447,-62.43,17469.92,sh600519
1368,2007-08-07,-60.905,-60.552,-60.206,-62.1,23874.26,sh600519
1369,2007-08-08,-60.552,-60.304,-54.947,-62.633,12945.06,sh600519
1370,2007-08-09,-57.487,-55.991,-54.662,-59.44,15475.05,sh600519
1371,2007-08-10,-56.314,-59.47,-55.308,-60.191,23841.76,sh600519
1372,2007-08-13,-59.455,-61.145,-59.455,-64.429,19140.59,sh600519
1373,2007-08-14,-62.445,-61.746,-60.943,-63.783,16144.46,sh600519
1374,2007-08-15,-61.762,-62.445,-59.064,-63.572,23519.53,sh600519
1375,2007-08-16,-63.565,-63.189,-60.943,-65.826,21306.3,sh600519
1376,2007-08-17,-62.31,-63.076,-58.553,-63.565,24164.37,sh600519
1377,2007-08-20,-61.619,-56.818,-55.834,-61.619,18751.35,sh600519
1378,2007-08-21,-56.795,-53.399,-51.927,-56.795,18810.98,sh600519
1379,2007-08-22,-54.932,-47.997,-46.818,-55.308,26195.15,sh600519
1380,2007-08-23,-48.005,-44.451,-43.512,-48.922,19263.67,sh600519
1381,2007-08-24,-44.496,-46.555,-42.919,-47.419,20630.17,sh600519
1382,2007-08-27,-46.668,-48.125,-44.429,-48.17,20822.82,sh600519
1383,2007-08-28,-48.914,-49.079,-47.419,-49.598,17205.5,sh600519
1384,2007-08-29,-49.838,-49.222,-46.322,-50.424,11997.01,sh600519
1385,2007-08-30,-48.997,-48.178,-47.577,-49.335,9194.87,sh600519
1386,2007-08-31,-48.17,-44.466,-44.339,-48.922,10007.4,sh600519
1387,2007-09-03,-43.737,-44.549,-41.859,-44.789,18749.14,sh600519
1388,2007-09-04,-44.714,-49.823,-44.714,-51.175,47220.08,sh600519
1389,2007-09-05,-49.733,-50.567,-48.208,-52.994,22879.69,sh600519
1390,2007-09-06,-50.424,-51.934,-50.424,-52.753,27525.58,sh600519
1391,2007-09-07,-51.934,-56.089,-51.934,-56.51,33011.69,sh600519
1392,2007-09-10,-59.252,-57.855,-56.202,-59.252,40802.08,sh600519
1393,2007-09-11,-57.937,-56.585,-54.571,-57.937,25866.08,sh600519
1394,2007-09-12,-57.186,-56.645,-54.932,-59.192,12191.84,sh600519
1395,2007-09-13,-56.435,-56.555,-56.059,-58.689,21165.7,sh600519
1396,2007-09-14,-56.435,-53.136,-51.927,-58.14,36625.8,sh600519
1397,2007-09-17,-53.429,-50.447,-49.688,-55.112,38819.24,sh600519
1398,2007-09-18,-50.274,-54.579,-50.274,-55.774,14836.66,sh600519
1399,2007-09-19,-55.608,-58.313,-55.308,-59.613,29013.21,sh600519
1400,2007-09-20,-58.148,-55.661,-55.045,-58.148,12903.05,sh600519
1401,2007-09-21,-55.638,-55.796,-55.315,-58.088,12787.93,sh600519
1402,2007-09-24,-56.435,-58.313,-55.082,-59.057,31704.62,sh600519
1403,2007-09-25,-58.343,-58.756,-56.961,-60.507,30249.82,sh600519
